,reactant_smi,rxn_id,mapped_atoms,reactant_id_no_underbar,elec_sites,MAA Value [kJ/mol],Est. Error [kJ/mol],Type
84,C1CC[C:20](=[O:21])CC1,36,"{20: 3, 21: 4}",36reac1,3,139.5130370401625,17.063032325123643,Ketone
85,C1CC[C:20](=[O:21])CC1,36,"{20: 3, 21: 4}",36reac1,4,-49.22349277628487,14.80867179333185,Double bond
86,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,24,154.608898054512,16.989206999621587,Aldehyde
87,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,7,116.28314979811935,29.37704807652792,Double bond
88,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,10,111.72101170923507,15.728559168795082,Double bond
89,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,16,109.13894961718398,12.427985423758754,Double bond
90,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,14,102.05747114164035,18.717908281693568,Double bond
91,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,8,93.4426413428705,17.13385553963618,Double bond
92,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,13,92.12348556882306,25.666622530269752,Double bond
93,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,9,76.55541331427487,14.75700915022638,Double bond
94,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,3,70.41836311187421,17.253599802918448,Double bond
95,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,0,67.91798182530782,11.933161585434247,Double bond
96,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,4,66.30608212610178,14.861209997185046,Double bond
97,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,2,66.30608212610178,14.861209997185046,Double bond
98,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,5,64.9690289144863,9.493268842587847,Double bond
99,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,1,64.9690289144863,9.493268842587847,Double bond
100,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,15,61.852027007547264,12.53700198832491,Double bond
101,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,12,35.680429444916,21.311314205009396,Double bond
102,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,11,13.438967902946006,18.009234991922252,Double bond
103,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,25,-20.13453042648251,37.58852574609931,Double bond
104,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,8,311.0131194407817,16.374375695541463,Michael acceptor
105,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,4,217.41856087789068,22.224340150017333,Double bond
106,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,6,217.41856087789068,22.224340150017333,Double bond
107,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,9,191.41234903805454,33.92069706745676,Double bond
108,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,2,183.36945229263475,26.498604845448515,Double bond
109,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,12,162.68405684669668,15.028940818792508,Double bond
110,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,10,128.17292261664127,15.149588958889693,Triple bond
111,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,11,115.36328797047142,23.1779555478043,Triple bond
112,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,7,90.86464837924038,15.57777284068803,Double bond
113,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,3,90.86464837924038,15.57777284068803,Double bond
114,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,5,44.7140106032388,22.90896668254695,Double bond
115,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,13,16.804346469567346,28.150164730667022,Double bond
116,CCOC(=O)C([C:21](=[CH2:20])[C:22]#[N:23])O,39,"{21: 6, 20: 7, 22: 8, 23: 9}",39reac0,7,212.46955216640382,45.46729375728181,Michael acceptor
117,CCOC(=O)C([C:21](=[CH2:20])[C:22]#[N:23])O,39,"{21: 6, 20: 7, 22: 8, 23: 9}",39reac0,6,200.08520325411686,46.535032428383914,Double bond
118,CCOC(=O)C([C:21](=[CH2:20])[C:22]#[N:23])O,39,"{21: 6, 20: 7, 22: 8, 23: 9}",39reac0,3,156.39363878260448,15.712010197157603,Ester
119,CCOC(=O)C([C:21](=[CH2:20])[C:22]#[N:23])O,39,"{21: 6, 20: 7, 22: 8, 23: 9}",39reac0,8,131.88636741831817,23.559961813067087,Triple bond
120,CCOC(=O)C([C:21](=[CH2:20])[C:22]#[N:23])O,39,"{21: 6, 20: 7, 22: 8, 23: 9}",39reac0,9,50.47334128906451,27.187900837434256,Triple bond
121,CCOC(=O)C([C:21](=[CH2:20])[C:22]#[N:23])O,39,"{21: 6, 20: 7, 22: 8, 23: 9}",39reac0,4,-69.1299186368323,29.65927814110165,Double bond
122,C1=CC(=CC=C1C[NH2:10])Cl,39,{10: 7},39reac1,2,164.54221987428647,14.944961668799731,Double bond
123,C1=CC(=CC=C1C[NH2:10])Cl,39,{10: 7},39reac1,1,79.02384322053092,8.287551567939335,Double bond
124,C1=CC(=CC=C1C[NH2:10])Cl,39,{10: 7},39reac1,3,79.02384322053092,8.287551567939335,Double bond
125,C1=CC(=CC=C1C[NH2:10])Cl,39,{10: 7},39reac1,0,77.60827018656308,12.25032880384402,Double bond
126,C1=CC(=CC=C1C[NH2:10])Cl,39,{10: 7},39reac1,4,77.60827018656308,12.25032880384402,Double bond
127,C1=CC(=CC=C1C[NH2:10])Cl,39,{10: 7},39reac1,5,73.27740544937475,14.268597492907952,Double bond
128,C1=CC(=CC=C1[CH:20]=[O:21])Cl,40,"{20: 6, 21: 7}",40reac1,2,244.63918305167317,16.58701151909726,Double bond
129,C1=CC(=CC=C1[CH:20]=[O:21])Cl,40,"{20: 6, 21: 7}",40reac1,0,199.85745498680575,13.560652892154746,Double bond
130,C1=CC(=CC=C1[CH:20]=[O:21])Cl,40,"{20: 6, 21: 7}",40reac1,4,199.85745498680575,13.560652892154746,Double bond
131,C1=CC(=CC=C1[CH:20]=[O:21])Cl,40,"{20: 6, 21: 7}",40reac1,6,174.99019593536323,9.870878499843325,Aldehyde
132,C1=CC(=CC=C1[CH:20]=[O:21])Cl,40,"{20: 6, 21: 7}",40reac1,1,116.82656348981875,12.139163169288311,Double bond
133,C1=CC(=CC=C1[CH:20]=[O:21])Cl,40,"{20: 6, 21: 7}",40reac1,3,116.82656348981875,12.139163169288311,Double bond
134,C1=CC(=CC=C1[CH:20]=[O:21])Cl,40,"{20: 6, 21: 7}",40reac1,5,89.34259974441788,27.273094609885508,Double bond
135,C1=CC(=CC=C1[CH:20]=[O:21])Cl,40,"{20: 6, 21: 7}",40reac1,7,61.12170718959959,22.97144294486064,Double bond
136,CC(C)(C)[CH:20]=[O:21],41,"{20: 4, 21: 5}",41reac0,4,160.42324717409508,29.118690603688158,Aldehyde
137,CC(C)(C)[CH:20]=[O:21],41,"{20: 4, 21: 5}",41reac0,5,-36.08402124039082,37.03465586912182,Double bond
138,C1CC([NH:10]C1)C(=O)O,41,{10: 3},41reac1,5,135.08154289747327,12.875550236989527,Double bond
139,C1CC([NH:10]C1)C(=O)O,41,{10: 3},41reac1,6,-104.31905464530084,15.585158958243841,Double bond
140,CO[C:22](=[O:23])[CH:21]=[CH2:20],42,"{22: 2, 23: 3, 21: 4, 20: 5}",42reac1,5,250.61325248629132,31.01272350572123,Michael acceptor
141,CO[C:22](=[O:23])[CH:21]=[CH2:20],42,"{22: 2, 23: 3, 21: 4, 20: 5}",42reac1,4,139.97416678165808,36.26489814820239,Double bond
142,CO[C:22](=[O:23])[CH:21]=[CH2:20],42,"{22: 2, 23: 3, 21: 4, 20: 5}",42reac1,2,124.8479395450894,20.275284367362826,Double bond
143,CO[C:22](=[O:23])[CH:21]=[CH2:20],42,"{22: 2, 23: 3, 21: 4, 20: 5}",42reac1,3,-17.468488193993505,37.47886604992196,Double bond
144,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,1,226.48816526198542,31.016903564936655,Michael acceptor
145,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,9,215.9573825453598,28.12504989339802,Double bond
146,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,5,173.3832229473402,21.92104037820021,Double bond
147,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,10,152.17700044715417,29.783294776631507,Double bond
148,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,7,149.1082628152955,19.382629744914276,Double bond
149,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,11,130.11220403338146,16.900093122289853,Double bond
150,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,12,119.76757231727636,37.85958306016822,Double bond
151,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,6,104.74330630583626,20.488495516031136,Double bond
152,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,8,101.18702574924697,23.537517923448366,Double bond
153,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,3,93.8342551124094,26.121953393914367,Double bond
154,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,2,88.89911634213824,38.835573764303874,Double bond
155,C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23],43,"{20: 1, 21: 2, 22: 11, 23: 12}",43reac0,4,73.37834959792882,24.999264560720807,Double bond
