,reactant_smi,rxn_id,mapped_atoms,reactant_id_no_underbar,elec_sites,MAA Value [kJ/mol],Type,reactant_error,product_error
95,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,16,197.8270187987946,Double bond,None,None
96,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,21,185.55721281748265,Double bond,None,None
97,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,14,176.26484995894134,Double bond,None,None
98,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,23,160.7112516774796,Double bond,None,None
99,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,12,95.30249079037458,Double bond,None,None
100,CC1=CC=C(C=C1)[OH:10],8,{10: 7},8reac0,4,83.24565015849657,Double bond,None,None
101,CC1=CC=C(C=C1)[OH:10],8,{10: 7},8reac0,2,59.45850921433885,Double bond,None,None
102,CC1=CC=C(C=C1)[OH:10],8,{10: 7},8reac0,6,59.45850921433885,Double bond,None,None
103,CC1=CC=C(C=C1)[OH:10],8,{10: 7},8reac0,3,43.120018369867466,Double bond,None,None
104,CC1=CC=C(C=C1)[OH:10],8,{10: 7},8reac0,5,43.120018369867466,Double bond,None,None
105,CC1=CC=C(C=C1)[OH:10],8,{10: 7},8reac0,1,19.041196800069883,Double bond,None,None
106,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,6,425.965820267098,Carbocation,None,None
107,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,0,346.9328660105821,Double bond,None,None
108,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,10,346.9328660105821,Double bond,None,None
109,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,16,346.9328660105821,Double bond,None,None
110,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,2,327.17557915486395,Double bond,None,None
111,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,8,327.17557915486395,Double bond,None,None
112,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,18,327.17557915486395,Double bond,None,None
113,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,14,327.17557915486395,Double bond,None,None
114,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,12,327.17557915486395,Double bond,None,None
115,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,4,327.17557915486395,Double bond,None,None
116,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,3,302.8686170806177,Double bond,None,Connectivity
117,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,7,302.8686170806177,Double bond,None,Connectivity
118,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,13,302.8686170806177,Double bond,None,Connectivity
119,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,17,161.73452127631754,Double bond,None,None
120,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,15,161.73452127631754,Double bond,None,None
121,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,1,161.73452127631754,Double bond,None,None
122,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,5,161.73452127631754,Double bond,None,None
123,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,11,161.73452127631754,Double bond,None,None
124,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,9,161.73452127631754,Double bond,None,None
125,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],9,"{20: 1, 10: 14}",9reac0,1,460.4268784932792,Carbocation,Connectivity,None
126,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],9,"{20: 1, 10: 14}",9reac0,11,418.4448061231524,Double bond,Connectivity,Connectivity
127,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],9,"{20: 1, 10: 14}",9reac0,10,324.36982930265367,Double bond,Connectivity,Connectivity
128,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],9,"{20: 1, 10: 14}",9reac0,12,311.5945783779025,Double bond,Connectivity,Connectivity
129,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],9,"{20: 1, 10: 14}",9reac0,9,305.94697370007634,Double bond,Connectivity,Connectivity
130,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],9,"{20: 1, 10: 14}",9reac0,8,283.3709298931062,Double bond,Connectivity,Connectivity
131,C[C+:20](C)CC(C)(C)C1=C(C=CC(=C1)Br)[OH:10],9,"{20: 1, 10: 14}",9reac0,7,143.90149107575417,Double bond,Connectivity,None
132,N#N,10,{},10reac0,0,-79.18654327030526,Triple bond,None,None
133,N#N,10,{},10reac0,1,-79.18654327030526,Triple bond,None,None
134,CC(C)=[O:10],10,{10: 3},10reac1,1,137.3800449213013,Ketone,None,None
135,CC(C)=[O:10],10,{10: 3},10reac1,3,-69.95245241874363,Double bond,None,None
136,[CH2+:20]C1=CC=CC=C1,10,{20: 0},10reac2,0,551.4737943068612,Carbocation,None,None
137,[CH2+:20]C1=CC=CC=C1,10,{20: 0},10reac2,4,426.0703687343048,Double bond,None,None
138,[CH2+:20]C1=CC=CC=C1,10,{20: 0},10reac2,2,410.5219616270624,Double bond,None,None
139,[CH2+:20]C1=CC=CC=C1,10,{20: 0},10reac2,6,410.5219616270624,Double bond,None,None
140,[CH2+:20]C1=CC=CC=C1,10,{20: 0},10reac2,1,399.42749087826815,Double bond,None,Connectivity
141,[CH2+:20]C1=CC=CC=C1,10,{20: 0},10reac2,3,124.17328957805876,Double bond,None,None
142,[CH2+:20]C1=CC=CC=C1,10,{20: 0},10reac2,5,124.17328957805876,Double bond,None,None
143,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,11,{20: 6},11reac1,6,481.92995037930086,Carbocation,None,None
144,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,11,{20: 6},11reac1,0,377.7654907205142,Double bond,None,None
145,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,11,{20: 6},11reac1,10,377.7654907205142,Double bond,None,None
146,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,11,{20: 6},11reac1,2,361.82052459870465,Double bond,None,None
147,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,11,{20: 6},11reac1,4,361.82052459870465,Double bond,None,None
148,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,11,{20: 6},11reac1,12,361.82052459870465,Double bond,None,None
149,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,11,{20: 6},11reac1,8,361.82052459870465,Double bond,None,None
150,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,11,{20: 6},11reac1,3,338.4549266612157,Double bond,None,Connectivity
151,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,11,{20: 6},11reac1,7,338.4549266612157,Double bond,None,Connectivity
152,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,11,{20: 6},11reac1,5,177.5666753607802,Double bond,None,None
153,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,11,{20: 6},11reac1,1,177.5666753607802,Double bond,None,None
154,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,11,{20: 6},11reac1,9,177.5666753607802,Double bond,None,None
155,C1=CC=C(C=C1)[CH+:20]C2=CC=CC=C2,11,{20: 6},11reac1,11,177.5666753607802,Double bond,None,None
156,CC1=CCC(CC1)[C+:20](C)C,12,{20: 7},12reac0,7,486.12322594900616,Carbocation,None,None
157,CC1=CCC(CC1)[C+:20](C)C,12,{20: 7},12reac0,1,386.4412517747842,Double bond,None,Connectivity
158,CC1=CCC(CC1)[C+:20](C)C,12,{20: 7},12reac0,2,131.22293089306913,Double bond,None,None
159,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,13,"{20: 5, 10: 9}",13reac0,5,362.91700125066563,Carbocation,Connectivity,None
160,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,13,"{20: 5, 10: 9}",13reac0,13,276.5470917222556,Double bond,Connectivity,None
161,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,13,"{20: 5, 10: 9}",13reac0,11,265.0415614498779,Double bond,Connectivity,None
162,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,13,"{20: 5, 10: 9}",13reac0,15,265.0415614498779,Double bond,Connectivity,None
