,reactant_smi,rxn_id,mapped_atoms,reactant_id_no_underbar,nuc_sites,MCA Value [kJ/mol],Type,reactant_error,product_error
67,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,24,297.59107293887064,Double bond,None,None
68,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,12,295.2103674900718,Ether,None,None
69,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,16,294.29835825925693,Double bond,None,None
70,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,18,294.29835825925693,Double bond,None,None
71,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,20,292.6844712290913,Ether,None,None
72,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,15,290.3588614333421,Double bond,None,None
73,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,19,290.3588614333421,Double bond,None,None
74,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,14,284.92745758825913,Double bond,None,None
75,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,22,276.978329686448,Double bond,None,None
76,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,5,251.9362179567106,Double bond,None,Connectivity
77,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,7,244.96942401537672,Double bond,None,Connectivity
78,C(C[NH2:10])N,34,{10: 2},34reac1,2,492.09475147607736,Amine,None,None
79,C(C[NH2:10])N,34,{10: 2},34reac1,3,492.09475147607736,Amine,None,None
80,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,14,507.7769931727089,Double bond,None,Connectivity
81,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,10,507.7769931727089,Double bond,None,Connectivity
82,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,2,464.3992283982225,Amine,None,None
83,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,4,406.52601427841,Double bond,None,Connectivity
84,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,9,390.1188769363798,Double bond,None,Connectivity
85,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,6,376.25454108277336,Atom with lone pair,None,None
86,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,5,370.34092871122994,Atom with lone pair,None,None
87,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,11,322.64928976399824,Double bond,None,Connectivity
88,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,13,322.64928976399824,Double bond,None,Connectivity
89,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,12,322.49331416818313,Double bond,None,None
90,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,7,349.85940321185626,Double bond,None,Connectivity
91,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,2,320.71237030345947,Double bond,None,None
92,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,4,320.71237030345947,Double bond,None,None
93,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,8,320.02955189161,Aldehyde,None,None
94,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,0,314.1216434808448,Double bond,None,None
95,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,1,305.186878381297,Double bond,None,None
96,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,5,305.186878381297,Double bond,None,None
97,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,3,278.83936655684374,Double bond,None,None
98,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,6,534.489454222843,Double bond,None,Connectivity
99,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,10,534.489454222843,Double bond,None,Connectivity
100,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,11,495.33355699758977,Amine,None,None
101,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,5,422.00439578644,Double bond,None,Connectivity
102,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,9,421.6555954341311,Double bond,None,Connectivity
103,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,7,421.6555954341311,Double bond,None,Connectivity
104,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,1,346.71105798333883,Ether,None,None
105,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,8,331.9874523151666,Double bond,None,None
106,C1CC[C:20](=[O:21])CC1,36,"{20: 3, 21: 4}",36reac1,4,344.6540676741861,Ketone,None,None
107,C1CC[C:20](=[O:21])CC1,36,"{20: 3, 21: 4}",36reac1,3,239.41852595994715,Double bond,None,Connectivity
108,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,3,510.5315333935432,Double bond,None,Connectivity
109,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,18,488.91721187578514,Amine,None,None
110,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,17,465.852614922449,Phenol,None,Connectivity
111,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,7,449.59818056505173,Double bond,None,Connectivity
112,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,16,440.38142986781895,Double bond,None,Connectivity
113,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,24,397.4825368667953,Double bond,None,Connectivity
114,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,11,371.4374985084869,Double bond,None,Connectivity
115,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,13,363.1443327362649,Double bond,None,None
116,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,15,345.1491118199192,Double bond,None,None
117,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,9,337.6096086651087,Double bond,None,None
118,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,0,334.4006541138515,Double bond,None,None
119,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,25,328.9668459673412,Aldehyde,None,None
120,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,10,321.64206112734973,Double bond,None,None
121,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,14,318.6317594004795,Double bond,None,None
122,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,4,312.58874285500497,Double bond,None,None
123,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,2,312.58874285500497,Double bond,None,None
124,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,5,310.5474539892748,Double bond,None,None
125,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,1,310.5474539892748,Double bond,None,None
