,reactant_smi,rxn_id,mapped_atoms,reactant_id_no_underbar,nuc_sites,MCA Value [kJ/mol],Est. Error [kJ/mol],Type
67,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,9,312.1303067399847,11.600677683677224,Double bond
68,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,11,298.39035882579043,15.01861143331971,Double bond
69,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,7,298.39035882579043,15.01861143331971,Double bond
70,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,8,294.9417267163318,11.21056775049324,Double bond
71,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,10,294.9417267163318,11.21056775049324,Double bond
72,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,6,268.0430775103483,22.025205458264512,Double bond
73,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,2,253.68503553669933,21.59742052914965,Atom with lone pair
74,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],6,{10: 12},6reac0,1,57.089307956579724,33.95606792598893,Double bond
75,[CH2+:20]C2=CC=CC=C2,6,{20: 0},6reac1,2,254.81156761550827,36.46915695020325,Double bond
76,[CH2+:20]C2=CC=CC=C2,6,{20: 0},6reac1,6,254.81156761550827,36.46915695020325,Double bond
77,[CH2+:20]C2=CC=CC=C2,6,{20: 0},6reac1,4,239.199689758706,24.93498171277744,Double bond
78,[CH2+:20]C2=CC=CC=C2,6,{20: 0},6reac1,3,237.0700067772092,25.115203991931974,Double bond
79,[CH2+:20]C2=CC=CC=C2,6,{20: 0},6reac1,5,237.0700067772092,25.115203991931974,Double bond
80,[CH2+:20]C2=CC=CC=C2,6,{20: 0},6reac1,1,229.5953143172861,32.7839458075284,Double bond
81,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,2,349.64748771157053,16.11574889242221,Atom with lone pair
82,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,6,345.7301948713525,15.025356525964106,Amide
83,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,7,321.8337947834606,33.32203017666504,Double bond
84,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,10,292.63427519305486,16.39609849137168,Double bond
85,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,9,281.8309473043025,19.487890586187874,Double bond
