name,smiles,smiles_from_dataframe,total_charge,match_with_confs_optimized_by_orca,sanity
84cb4a0199f133afb27047e8422a2ca6,Cc1noc([C@@]23CCO[C@@H]2CCN(C(=O)CN(C)C)C3)n1,[H]C([H])([H])c1noc([C@]23C([H])([H])N(C(=O)C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[C@@]2([H])OC([H])([H])C3([H])[H])n1,0,True,True
fe96da85ae7f2027bd41d5e01cda78ad,COc1cc(N2C[C@H]3CCC[C@@H](CN(C)C4CC4)[C@H]3C2)ncn1,[H]c1nc(OC([H])([H])[H])c([H])c(N2C([H])([H])[C@@]3([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])N(C([H])([H])[H])C4([H])C([H])([H])C4([H])[H])[C@@]3([H])C2([H])[H])n1,0,True,True
cbcadc3eacd75b584cd50f475ddcc12f,O=c1cc(OCc2ccc(I)cc2)oc2ccc(OCc3cccc(Cl)c3)c(O)c12,[H]Oc1c(OC([H])([H])c2c([H])c([H])c([H])c(Cl)c2[H])c([H])c([H])c2oc(OC([H])([H])c3c([H])c([H])c(I)c([H])c3[H])c([H])c(=O)c12,0,True,True
26c46ba6d43d018215a8401b503916b5,CC(Oc1ccc2ccc(=O)oc2c1)C(=O)N1CCOCC1,[H]c1c(OC([H])(C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C([H])([H])[H])c([H])c2oc(=O)c([H])c([H])c2c1[H],0,True,True
1e5475f6db42bd1b8defc7f6d54b5a11,CCOC(=O)N1CCc2c(c3cc(OC)ccc3n2CC(=O)O)C1,[H]OC(=O)C([H])([H])n1c2c(c3c([H])c(OC([H])([H])[H])c([H])c([H])c31)C([H])([H])N(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C2([H])[H],0,True,True
aae7f261d4f7be29ce3120fd77ef5d45,COc1cccc(CON2C(=O)CSC2c2ccc(C)c(C)c2)c1,[H]c1c([H])c(OC([H])([H])[H])c([H])c(C([H])([H])ON2C(=O)C([H])([H])SC2([H])c2c([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c2[H])c1[H],0,True,True
7b6ff2306d80694e90f5c9a181f429f8,CCOc1cccc(CN2CCCC(CNC(=O)c3cccc(OC)c3OC)C2)c1,[H]c1c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(C(=O)N([H])C([H])([H])C2([H])C([H])([H])N(C([H])([H])c3c([H])c([H])c([H])c(OC([H])([H])C([H])([H])[H])c3[H])C([H])([H])C([H])([H])C2([H])[H])c1[H],0,True,True
c3de9e98c2380ec347277ce551444531,COc1ccc(N2CC=C(c3ccc(Cl)c(Cl)c3)C2=O)cc1OCCN1CCCC1,[H]C1=C(c2c([H])c([H])c(Cl)c(Cl)c2[H])C(=O)N(c2c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c2[H])C1([H])[H],0,True,True
eb06a3c80e6be65dce6c0e0aff5cd7ec,CC(CCc1ccccc1)NCC(O)c1ccc2c3c(cccc13)S(=O)(=O)N2C,[H]OC([H])(c1c([H])c([H])c2c3c(c([H])c([H])c([H])c13)S(=O)(=O)N2C([H])([H])[H])C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],0,True,True
a72980d2ca8346124efe246237619447,CCOC(=O)c1cccc2c(O)c(C(=O)c3ccc(Cl)cc3)c(C(=O)OC)nc12,[H]Oc1c(C(=O)c2c([H])c([H])c(Cl)c([H])c2[H])c(C(=O)OC([H])([H])[H])nc2c(C(=O)OC([H])([H])C([H])([H])[H])c([H])c([H])c([H])c12,0,True,True
000a5334cf5390dc6e80cadfe3d4e9ea,Cc1ccc(Nc2nc(-c3nc(N)sc3C)cs2)cc1,[H]c1sc(N([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])nc1-c1nc(N([H])[H])sc1C([H])([H])[H],0,True,True
e77e193b592cf5b57e20dbac720febb7,CC1Cc2cc(C3(O)C(=O)c4ccccc4C3=O)ccc2N1,[H]OC1(c2c([H])c([H])c3c(c2[H])C([H])([H])C([H])(C([H])([H])[H])N3[H])C(=O)c2c([H])c([H])c([H])c([H])c2C1=O,0,True,True
ffd309e229530a6655553d8a2a8628d0,Clc1ccc2cccnc2c1CN1CCCC1Cn1cncn1,[H]c1nc([H])n(C([H])([H])C2([H])N(C([H])([H])c3c(Cl)c([H])c([H])c4c([H])c([H])c([H])nc34)C([H])([H])C([H])([H])C2([H])[H])n1,0,True,True
ce87af54cead3092d76ce0dfddefe01e,CCNC(=O)Nc1c(C)cnn1Cc1cc(F)ccc1F,[H]c1nn(C([H])([H])c2c([H])c(F)c([H])c([H])c2F)c(N([H])C(=O)N([H])C([H])([H])C([H])([H])[H])c1C([H])([H])[H],0,True,True
f4f84c24942917497e61b7bfec626ef0,COc1cccc(-c2ccc3ncnc(NCc4ccoc4)c3c2)c1,[H]c1nc(N([H])C([H])([H])c2c([H])oc([H])c2[H])c2c([H])c(-c3c([H])c([H])c([H])c(OC([H])([H])[H])c3[H])c([H])c([H])c2n1,0,True,True
e51bcf9eada0d1aeccd1efe63c06a0b7,CC(=O)NNc1nc(C)c(C(/C=C/c2ccc(Cl)cc2)=N/NC(=S)NN)s1,[H]C(/C(=N\N([H])C(=S)N([H])N([H])[H])c1sc(N([H])N([H])C(=O)C([H])([H])[H])nc1C([H])([H])[H])=C(/[H])c1c([H])c([H])c(Cl)c([H])c1[H],0,True,True
893ebf4d0492813c6bd8747e3e8a7532,Nc1cc2c(cc1[N+](=O)[O-])OCO2,[H]c1c2c(c([H])c([N+](=O)[O-])c1N([H])[H])OC([H])([H])O2,0,True,True
faed255f81e51ce79d28a85d5ec09cf9,CC(C)c1ccc(NC(=O)CN(C)C2=NS(=O)(=O)c3ccccc32)cc1,[H]c1c([H])c([H])c2c(c1[H])C(N(C([H])([H])[H])C([H])([H])C(=O)N([H])c1c([H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H])=NS2(=O)=O,0,True,True
9a1208926ef8790a95a16948df14bb97,CN(C)CC/C=C1/c2ccccc2COc2ccc(/C=C/C(=O)O)cc21,[H]OC(=O)/C([H])=C(\[H])c1c([H])c([H])c2c(c1[H])/C(=C(/[H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1C([H])([H])O2,0,True,True
de40c7e78d9d151c1fa9665ead424272,CC(C)(C)S(=O)(=O)CCNC(=O)c1ccc2cc[nH]c2c1,[H]c1c(C(=O)N([H])C([H])([H])C([H])([H])S(=O)(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2c(c1[H])c([H])c([H])n2[H],0,True,True
c2d1a9824784d9de9e6be6b8b71ba836,N#Cc1cc(-c2ccc(F)cc2)c2ccc(CCc3cncnc3)cc2n1,[H]c1nc([H])c(C([H])([H])C([H])([H])c2c([H])c([H])c3c(-c4c([H])c([H])c(F)c([H])c4[H])c([H])c(C#N)nc3c2[H])c([H])n1,0,True,True
879471acd0da3b78ad850439009647e9,CC(C)(C)Cc1cncn1C1CC1,[H]c1nc([H])n(C2([H])C([H])([H])C2([H])[H])c1C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0,True,True
c59aa5b2e6015bde3604d8911d8316bc,O=C1CCCC/C1=C\c1ccc([N+](=O)[O-])cc1,[H]/C(=C1\C(=O)C([H])([H])C([H])([H])C([H])([H])C1([H])[H])c1c([H])c([H])c([N+](=O)[O-])c([H])c1[H],0,True,True
