name,success,total_energy_kjmol,basis_set,functional,solvent_model,solvent_name,multiplicity,charge,elec_sites,MAA_values,cm5,split
00f8989d06467c5ad02aca74a67ffc82,True,-5312097.244727608,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,5,111.67843796219675,"[-0.07186 -0.01995 -0.10157  0.11496  0.       0.46714 -0.07154  0.
  0.10696  0.10956  0.       0.       0.       0.       0.       0.
  0.      -0.42586 -0.59021  0.      -0.10169  0.10924  0.       0.
  0.       0.      -0.12304  0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
0110aba39309c01c4223ddbaab685127,True,-4024575.293184288,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,21,75.81592610478401,"[-0.09916  0.07393 -0.09078  0.1084   0.      -0.11206  0.18542  0.
 -0.08711  0.10292  0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.      -0.66585 -0.09867  0.       0.
  0.       0.       0.10148  0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
0114b273674f9703a00d9e7235d95085,True,-9380980.642025614,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,16,96.57118244469166,"[-0.10271  0.00515 -0.0438   0.10495  0.      -0.05393  0.25534  0.
  0.29098 -0.22233  0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.      -0.55221 -0.13658  0.       0.
  0.       0.      -0.73332  0.       0.       0.10243  0.10127  0.08899
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
0116016199e42db93795ef4a87cfeff6,True,-2432182.0923957024,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,6,48.53734315186739,"[-0.05552  0.56533  0.01744 -0.08295  0.      -0.65066 -0.71185  0.
 -0.10018 -0.23052  0.      -0.09065  0.09744  0.       0.       0.
  0.       0.       0.       0.       0.04218  0.44029  0.       0.
  0.       0.      -0.07945  0.09443  0.       0.10785  0.09807  0.08684
  0.       0.       0.       0.0962   0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
0119069efb4ef44611e58ddaa56aa2ff,True,-3000028.016911861,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,5,16.16234531858936,"[-0.56955  0.25391  0.39137  0.       0.      -0.01602 -0.05585  0.
 -0.57077  0.10528  0.       0.       0.       0.       0.       0.
  0.       0.25602 -0.06082  0.       0.18306 -0.05366  0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
012cab5e92272d5d87aec0113ba60083,True,-3553420.559249137,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,17,119.43781299097463,"[-0.07143 -0.08834 -0.08499  0.10567  0.       0.00525  0.11587  0.
 -0.06706  0.10508  0.       0.       0.       0.       0.       0.
  0.       0.04282 -0.02512  0.       0.       0.       0.       0.
  0.       0.       0.11771  0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
01374e5ce8ec5c6ebbea1a2bc57d5715,True,-3281213.8981683194,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,4,18.534011545125395,"[-0.01137 -0.14256 -0.08792 -0.08794  0.      -0.12839  0.09836  0.09415
 -0.11862  0.09989  0.      -0.11842  0.10039  0.       0.       0.
  0.      -0.02277  0.08438  0.       0.       0.       0.       0.
  0.       0.       0.25194  0.11323  0.       0.       0.       0.
  0.       0.       0.       0.11341  0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
01438f2f4660e827cca9e177c3482037,True,-1645464.41305003,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,7,-26.5711880531162,"[-0.57663  0.41111  0.16617  0.       0.      -0.41813 -0.08923  0.
  0.24275  0.13584  0.       0.       0.       0.       0.       0.
  0.      -0.03804  0.       0.      -0.149   -0.1492   0.11348  0.
  0.       0.       0.50842  0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
0143c74df759962ced63fa8c805754f1,True,-2947886.582331506,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,12,56.16758036101237,"[-0.121   -0.01596  0.08042  0.10863  0.       0.17297 -0.10418  0.
 -0.43765  0.11806  0.       0.       0.       0.       0.       0.
  0.      -0.09044  0.       0.       0.00436  0.09196  0.       0.
  0.       0.       0.56487  0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",val
0149c9fab1ed6877a55b6e874977a492,True,-2455956.684170869,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,2,89.86141123622656,"[ 0.20613 -0.5112  -0.12267 -0.12532  0.       0.19974 -0.0418   0.
 -0.05658  0.09853  0.      -0.07398  0.10431  0.       0.       0.
  0.      -0.10988 -0.11114  0.       0.11394  0.11     0.10939  0.
  0.       0.      -0.07068  0.10597  0.       0.       0.       0.
  0.       0.       0.       0.09905  0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",test
