name,success,total_energy_kjmol,basis_set,functional,solvent_model,solvent_name,multiplicity,charge,nuc_sites,MCA_values,cm5,split
00f8989d06467c5ad02aca74a67ffc82,True,-5311348.156186715,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,24,246.58625729940832,"[-0.10766  0.164   -0.05358  0.10245  0.      -0.56009  0.09694  0.
 -0.1003   0.09937  0.       0.       0.       0.       0.       0.
  0.       0.22578  0.       0.       0.       0.       0.       0.
  0.       0.       0.11866  0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
0110aba39309c01c4223ddbaab685127,True,-4023896.962144284,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,18,281.48124633030966,"[-0.09867  0.18542 -0.08711  0.13096  0.      -0.66585  0.07393  0.
 -0.09078  0.10148  0.       0.       0.       0.       0.       0.
  0.       0.57229  0.43921  0.      -0.11206 -0.09916  0.       0.
  0.       0.       0.10292  0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
0114b273674f9703a00d9e7235d95085,True,-9380211.230543133,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,19,211.156060192734,"[ 0.25534 -0.55221  0.00515 -0.13658  0.       0.04647  0.       0.
 -0.05393 -0.10271  0.       0.56878  0.29098  0.       0.       0.
  0.       0.10787  0.0886   0.08757  0.       0.       0.       0.
  0.       0.       0.       0.       0.      -0.0438   0.10495  0.
  0.       0.       0.      -0.68878 -0.67912  0.      -0.73332  0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
0116016199e42db93795ef4a87cfeff6,True,-2431481.137003622,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,1,231.5783113008365,"[ 0.01744 -0.05552 -0.10018 -0.23052  0.       0.56533 -0.08295  0.
 -0.07945  0.09443  0.       0.10785  0.09807  0.08684  0.       0.
  0.      -0.65066 -0.71185  0.      -0.09065  0.09744  0.       0.
  0.       0.       0.095    0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
0119069efb4ef44611e58ddaa56aa2ff,True,-2999358.999857661,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,25,231.14165134821087,"[ 0.16955 -0.58647 -0.02159  0.09337  0.       0.43259  0.       0.
 -0.05262 -0.04537  0.       0.       0.       0.       0.       0.
  0.      -0.907   -0.13848  0.       0.       0.       0.       0.
  0.       0.       0.09707  0.       0.      -0.06082  0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
012cab5e92272d5d87aec0113ba60083,True,-3552715.781920031,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,4,298.6568441144191,"[-0.15051  0.29868 -0.05132  0.12541  0.      -0.50143 -0.02512  0.
  0.04282  0.13754  0.       0.       0.       0.       0.       0.
  0.       0.10597  0.       0.      -0.06706  0.00525  0.       0.
  0.       0.       0.63642  0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
01374e5ce8ec5c6ebbea1a2bc57d5715,True,-3280646.489757167,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,2,335.1219606222585,"[-0.12839 -0.02277 -0.14256  0.08438  0.      -0.15271 -0.24105  0.
 -0.01137  0.09836  0.09415  0.       0.       0.       0.       0.
  0.      -0.15061  0.08607  0.0851   0.09385  0.09251  0.08881  0.
  0.       0.      -0.08792 -0.08794  0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
01438f2f4660e827cca9e177c3482037,True,-1644858.045791418,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,8,251.05791356484409,"[ 0.41111 -0.41813 -0.57663 -0.08923  0.       0.24275 -0.03804  0.
  0.16617  0.       0.      -0.149   -0.1492   0.11348  0.       0.
  0.       0.50842  0.       0.       0.14     0.13968  0.12534  0.
  0.       0.       0.13584  0.       0.       0.       0.       0.
  0.       0.       0.       0.10672  0.10512  0.       0.10648  0.10536
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
0143c74df759962ced63fa8c805754f1,True,-2947194.4421092016,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,5,248.02371828630567,"[-0.0819  -0.01039 -0.08408  0.09956  0.      -0.03068 -0.08297  0.
 -0.07792  0.0991   0.       0.       0.       0.       0.       0.
  0.      -0.14108  0.11648  0.      -0.08352  0.09969  0.       0.
  0.       0.       0.09935  0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",val
0149c9fab1ed6877a55b6e874977a492,True,-2455313.95602808,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,5,331.1296286769212,"[-0.07068  0.56657 -0.05658 -0.07398  0.      -0.65907 -0.91169  0.
 -0.12267  0.10597  0.      -0.12532  0.09905  0.       0.       0.
  0.       0.       0.       0.       0.46667  0.4499   0.       0.
  0.       0.       0.20613  0.09853  0.       0.       0.       0.
  0.       0.       0.       0.10431  0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",test
0157288c0e6c3fd227c6cd26f1de52fb,True,-3894549.1496212105,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,21,235.11161666410044,"[ 0.40558 -0.46907 -0.60296  0.14391  0.       0.47238  0.03415  0.
  0.38442  0.       0.      -0.61003  0.44464  0.       0.       0.
  0.      -0.12789  0.       0.       0.11444  0.12852  0.12465  0.
  0.       0.      -0.6159   0.10248  0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.      -0.88945  0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
015ad1a717ca227813e5de39146eb779,True,-3503706.5441658203,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,5,235.0951022715308,"[-0.07749 -0.02939 -0.09143  0.10112  0.       0.47735  0.01212  0.
 -0.07979  0.09626  0.       0.       0.       0.       0.       0.
  0.      -0.41579 -0.37995  0.      -0.23566 -0.09832  0.       0.
  0.       0.       0.09637  0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
015b158437b0bb2965227f5676ebec1e,True,-3755872.148154596,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,2,236.7693570596166,"[ 0.26104 -0.50217  0.25044 -0.14236  0.       0.03686  0.       0.
 -0.51222 -0.14407  0.      -0.08786  0.11353  0.       0.       0.
  0.       0.11335  0.09938  0.09934  0.       0.       0.       0.
  0.       0.       0.03804  0.       0.      -0.01982  0.11476  0.
  0.       0.       0.       0.11255  0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
015deaf5d8c2bf665f3f78caa0f5facf,True,-3377985.7581226486,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,12,331.1705838437192,"[-0.52839  0.55683  0.11874  0.03862  0.      -0.65769 -0.04299  0.
 -0.17185 -0.17726  0.1308  -0.00099  0.12844  0.12572  0.       0.
  0.       0.       0.       0.      -0.01821  0.       0.       0.
  0.       0.       0.03403  0.10034  0.09674  0.03106  0.10085  0.09996
  0.       0.       0.      -0.08344  0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
01779621b8ada6aa291fd8315f3482f4,True,-4111610.687283877,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,15,253.97745853010565,"[-0.60781  0.63322  0.       0.       0.      -0.47203  0.01314  0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.26647  0.       0.      -0.03429 -0.07445  0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
017bd675bbf545fcae7a2c3ce7991908,True,-1720987.1846991817,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,9,309.1068835617043,"[ 0.17454 -0.57058 -0.14665 -0.13544  0.      -0.04105 -0.04205  0.
 -0.02791  0.0875   0.      -0.11775  0.08847  0.       0.       0.
  0.       0.09462  0.09369  0.08702  0.09601  0.09224  0.08723  0.
  0.       0.      -0.0848   0.14782  0.       0.       0.       0.
  0.       0.       0.       0.08591  0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
017d7b03bd12f6a2c7d2d90c1ad0302a,True,-3898365.39721683,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,3,257.0172093650326,"[-0.6125   0.63365  0.       0.       0.      -0.50529 -0.03075  0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.04198  0.       0.      -0.059   -0.05962  0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
