nuc_prod_name,nuc_prod_smis,smiles_from_dataframe,total_charge,match_with_confs_optimized_by_orca,sanity
d473ae6a93659b37bd0eb0180d1ab925_nuc_10,CC(C)Nc1cc(C2=C[C+]3C(=CC=NC3C)C(NCC(C)(C)N)=N2)ccn1,[H]C1=NC([H])(C([H])([H])[H])[C+]2C([H])=C(c3c([H])c([H])nc(N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c3[H])N=C(N([H])C([H])([H])C(N([H])[H])(C([H])([H])[H])C([H])([H])[H])C2=C1[H],1,True,True
e5bbf50ca9871648e950b884b3725787_nuc_13,COC(CN1CCN(c2cccc(OC)c2)CC1)=[NH+]c1nnc(-c2ccccc2)s1,[H]c1c([H])c([H])c(-c2nnc([N+]([H])=C(OC([H])([H])[H])C([H])([H])N3C([H])([H])C([H])([H])N(c4c([H])c([H])c([H])c(OC([H])([H])[H])c4[H])C([H])([H])C3([H])[H])s2)c([H])c1[H],1,True,True
e436cf7acabd0f5ce36b17542615d006_nuc_10,Cc1cccc(CSc2n[n+](C)c(-c3ccc4c(c3)OCCO4)o2)c1,[H]c1c([H])c(C([H])([H])[H])c([H])c(C([H])([H])Sc2n[n+](C([H])([H])[H])c(-c3c([H])c([H])c4c(c3[H])OC([H])([H])C([H])([H])O4)o2)c1[H],1,True,True
e24e7d5f1d19646108748d271e5fd168_nuc_25,CC(=O)NC(C)c1nc2ccccc2n1CC(=O)NC(C)CCC1=CC(C)[CH+]C=C1,[H]C1=C([H])[C+]([H])C([H])(C([H])([H])[H])C([H])=C1C([H])([H])C([H])([H])C([H])(N([H])C(=O)C([H])([H])n1c(C([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])[H])nc2c([H])c([H])c([H])c([H])c21)C([H])([H])[H],1,True,True
84cb4a0199f133afb27047e8422a2ca6_nuc_4,CC1=NOC(C)([C@@]23CCO[C@@H]2CCN(C(=O)CN(C)C)C3)[N+]1,[H]C([H])([H])C1=NOC(C([H])([H])[H])([C@]23C([H])([H])N(C(=O)C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[C@@]2([H])OC([H])([H])C3([H])[H])[N+]1,1,True,True
fe96da85ae7f2027bd41d5e01cda78ad_nuc_20,COc1cc(N2C[C@H]3CCC[C@@H](CN(C)C4CC4)[C@H]3C2)[n+](C)cn1,[H]c1c(OC([H])([H])[H])nc([H])[n+](C([H])([H])[H])c1N1C([H])([H])[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])N(C([H])([H])[H])C3([H])C([H])([H])C3([H])[H])[C@@]2([H])C1([H])[H],1,True,True
cbcadc3eacd75b584cd50f475ddcc12f_nuc_13,C[o+]1c(OCc2ccc(I)cc2)cc(=O)c2c(O)c(OCc3cccc(Cl)c3)ccc21,[H]Oc1c(OC([H])([H])c2c([H])c([H])c([H])c(Cl)c2[H])c([H])c([H])c2c1c(=O)c([H])c(OC([H])([H])c1c([H])c([H])c(I)c([H])c1[H])[o+]2C([H])([H])[H],1,True,True
26c46ba6d43d018215a8401b503916b5_nuc_11,CC(Oc1ccc2ccc(=O)[o+](C)c2c1)C(=O)N1CCOCC1,[H]c1c(OC([H])(C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C([H])([H])[H])c([H])c2c(c1[H])c([H])c([H])c(=O)[o+]2C([H])([H])[H],1,False,False
1e5475f6db42bd1b8defc7f6d54b5a11_nuc_8,CCOC(=O)N1CCC2(C)[C+](C1)c1cc(OC)ccc1N2CC(=O)O,[H]OC(=O)C([H])([H])N1c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[C+]2C([H])([H])N(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C21C([H])([H])[H],1,True,True
aae7f261d4f7be29ce3120fd77ef5d45_nuc_23,COC1=CC=C[C+](CON2C(=O)CSC2c2ccc(C)c(C)c2)C1C,[H]C1=C([H])[C+](C([H])([H])ON2C(=O)C([H])([H])SC2([H])c2c([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c2[H])C([H])(C([H])([H])[H])C(OC([H])([H])[H])=C1[H],1,True,True
7b6ff2306d80694e90f5c9a181f429f8_nuc_17,CCOc1cccc(CN2CCCC(C[NH+]=C(OC)c3cccc(OC)c3OC)C2)c1,[H]c1c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(C(OC([H])([H])[H])=[N+]([H])C([H])([H])C2([H])C([H])([H])N(C([H])([H])c3c([H])c([H])c([H])c(OC([H])([H])C([H])([H])[H])c3[H])C([H])([H])C([H])([H])C2([H])[H])c1[H],1,True,True
c3de9e98c2380ec347277ce551444531_nuc_17,COc1ccc(N2CC=C(C3=CC=C(Cl)[C+](Cl)C3C)C2=O)cc1OCCN1CCCC1,[H]C1=C(Cl)[C+](Cl)C([H])(C([H])([H])[H])C(C2=C([H])C([H])([H])N(c3c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])C([H])([H])N4C([H])([H])C([H])([H])C([H])([H])C4([H])[H])c3[H])C2=O)=C1[H],1,True,True
eb06a3c80e6be65dce6c0e0aff5cd7ec_nuc_23,CC(CCc1ccccc1)NCC(O)C1=CC=C2C3=C(C=C[CH+]C13C)S(=O)(=O)N2C,[H]OC([H])(C1=C([H])C([H])=C2C3=C(C([H])=C([H])[C+]([H])C31C([H])([H])[H])S(=O)(=O)N2C([H])([H])[H])C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],1,True,True
a72980d2ca8346124efe246237619447_nuc_12,CCOC(=O)c1cccc2c1=N[C+](C(=O)OC)C(C)(C(=O)c1ccc(Cl)cc1)C=2O,[H]OC1=c2c([H])c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])[H])c2=N[C+](C(=O)OC([H])([H])[H])C1(C(=O)c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])[H],1,True,True
000a5334cf5390dc6e80cadfe3d4e9ea_nuc_12,C[NH2+]c1nc(-c2csc(Nc3ccc(C)cc3)n2)c(C)s1,[H]c1sc(N([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])nc1-c1nc([N+]([H])([H])C([H])([H])[H])sc1C([H])([H])[H],1,True,True
e77e193b592cf5b57e20dbac720febb7_nuc_19,CC1CC2=CC(C3(O)C(=O)c4ccccc4C3=O)=CC(C)[C+]2N1,[H]OC1(C2=C([H])C([H])(C([H])([H])[H])[C+]3C(=C2[H])C([H])([H])C([H])(C([H])([H])[H])N3[H])C(=O)c2c([H])c([H])c([H])c([H])c2C1=O,1,True,True
ffd309e229530a6655553d8a2a8628d0_nuc_2,CC1C=c2cccnc2=C(CN2CCCC2Cn2cncn2)[C+]1Cl,[H]C1=c2c([H])c([H])c([H])nc2=C(C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])n2nc([H])nc2[H])[C+](Cl)C1([H])C([H])([H])[H],1,True,True
ce87af54cead3092d76ce0dfddefe01e_nuc_11,CCNC(=O)NC1=C(C)C=N[N+]1(C)Cc1cc(F)ccc1F,[H]C1=N[N+](C([H])([H])[H])(C([H])([H])c2c([H])c(F)c([H])c([H])c2F)C(N([H])C(=O)N([H])C([H])([H])C([H])([H])[H])=C1C([H])([H])[H],1,True,True
