,reactant_smi,rxn_id,mapped_atoms
52_0,COC(=O)CC[C:10](=[N+:11]([O-:12])[O-])C1=CC=CC=C1,52,"{10: 6, 11: 7, 12: 8}"
52_1,[CH2:20]=[NH2+:21],52,"{20: 0, 21: 1}"
53_0,CCCC[C:22](=[O:23])[CH:21]=[CH2:20],53,"{22: 4, 23: 5, 21: 6, 20: 7}"
53_1,C1CCC(=O)C(=[N+]([O-:10])[O-])C1,53,{10: 7}
54_0,CCOC(=O)[CH:10]=[C:11]=[N-:12],54,"{10: 5, 11: 6, 12: 7}"
54_1,C1=CC(=CC=C1[CH:20]=[O:21])Br,54,"{20: 6, 21: 7}"
55_0,COC1=C(C=C(C=C1)[CH:20]=[O:21])OC,55,"{20: 8, 21: 9}"
55_1,COC1=C(C=C(C=C1)[C:10](=[C:11]=[N-:12])O)OC,55,"{10: 8, 11: 9, 12: 10}"
56_0,CC1(C2CCC(C2)([C:20]1=[O:21])C)C,56,"{20: 7, 21: 8}"
56_1,[CH2:10]=[C:11]=[N-:12],56,"{10: 0, 11: 1, 12: 2}"
58_0,C1=CN=CC(=C1)[CH:20]=[NH2+:21],58,"{20: 6, 21: 7}"
58_1,[CH:10](=[C:11]=[N-:12])C#N,58,"{10: 0, 11: 1, 12: 2}"
59_0,[CH2:10]=[C:11]=[N-:12],59,"{10: 0, 11: 1, 12: 2}"
59_1,C1C=CC=C1[CH:20]=[O:21],59,"{20: 5, 21: 6}"
60_0,CC/C=C\C[CH:20]=[O+:21]C,60,"{20: 5, 21: 6}"
60_1,CC(C)[Si](C(C)C)(C(C)C)[O:12][CH:11]=[C:10]1CCC1,60,"{12: 10, 11: 11, 10: 12}"
61_0,CCO/[C:11](=[CH:10]/[N+]#N)/[O-:12],61,"{11: 3, 10: 4, 12: 7}"
61_1,CC1=CC(=CC=C1)[C:20](=[OH+:21])C,61,"{20: 7, 21: 8}"
62_0,COC1=CC=C(C=C1)[CH:20]=[O:21],62,"{20: 8, 21: 9}"
62_1,[CH2:10]=[C:11](C1CC1)[O-:12],62,"{10: 0, 11: 1, 12: 5}"
63_0,CC1(C[C:11](=[CH:10]C(=O)C1)[O-:12])C,63,"{11: 3, 10: 4, 12: 8}"
63_1,[CH:21](=[CH:20]\Cl)\[N+:22](=[O:23])[O-],63,"{21: 0, 20: 1, 22: 3, 23: 4}"
64_0,CCCCN1C(=C)C(C2=C1C=CC(=C2)[CH:20]=[N+:21]3CCCCC3)(C)C,64,"{20: 14, 21: 15}"
64_1,CC(C)(C)O/[C:11](=[CH:10]/C#N)/[O-:12],64,"{11: 5, 10: 6, 12: 9}"
65_0,CCCCCC(CC)O/[C:11](=[CH:10]\C#N)/[O-:12],65,"{11: 9, 10: 10, 12: 13}"
65_1,C1=CC=C(C=C1)[C:20](=[O:21])C2=CC=CC=C2,65,"{20: 6, 21: 7}"
66_0,CCO/[C:11](=[CH:10]/C1=CC=CS1)/[O-:12],66,"{11: 3, 10: 4, 12: 10}"
66_1,CCO[C:20](=[O:21])OCC,66,"{20: 3, 21: 4}"
67_0,C[C:10]1=[C:11](N(C(=O)N(C1=O)C)C)[O-:12],67,"{10: 1, 11: 2, 12: 11}"
67_1,C[C:22](=[O:23])[CH:21]=[CH2:20],67,"{22: 1, 23: 2, 21: 3, 20: 4}"
68_0,CCOC(=O)CC[C:20](=[O:21])C(=O)OCC,68,"{20: 7, 21: 8}"
68_1,CCO/[C:11](=[C:10](\C)/P(=O)(OCC)OCC)/[O-:12],68,"{11: 3, 10: 4, 12: 14}"
69_0,CCO/[C:11](=[CH:10]/C1=C(C=CC=C1)C(=O)OC)/[O-:12],69,"{11: 3, 10: 4, 12: 15}"
69_1,C1=CC=C(C=C1)[CH:20]=[O:21],69,"{20: 6, 21: 7}"
70_0,CCO[C:20](=[O:21])CC1=CC=CC=C1,70,"{20: 3, 21: 4}"
70_1,CCO/[C:11](=[CH:10]/C1=CC=CC=C1)/[O-:12],70,"{11: 3, 10: 4, 12: 11}"
71_0,CCO[CH:20]=[O:21],71,"{20: 3, 21: 4}"
71_1,CCO/[C:11](=[CH:10]/C1=CC=C(C=C1)Cl)/[O-:12],71,"{11: 3, 10: 4, 12: 12}"
72_0,CC(C)[N+:21](=[CH2:20])C(C)C,72,"{21: 3, 20: 4}"
72_1,CO/[C:11](=[C:10](/C(=O)OC)\F)/[O-:12],72,"{11: 2, 10: 3, 12: 9}"
73_0,C1=CC=C(C=C1)[CH:20]=[O:21],73,"{20: 6, 21: 7}"
73_1,C1=CC=C(C=C1)/[C:11](=[CH:10]\Cl)/[O-:12],73,"{11: 6, 10: 7, 12: 9}"
