elec_prod_name,elec_prod_smis,smiles_from_dataframe,total_charge,match_with_confs_optimized_by_orca,sanity
74782ab11cbdca7e176da191dd64bc79_elec_7,CC1=C[C-]2N=CNC2(C)C=C1C,[H]C1=N[C-]2C([H])=C(C([H])([H])[H])C(C([H])([H])[H])=C([H])C2(C([H])([H])[H])N1[H],-1,True,True
f087d444d92722456b856cb10027bbf7_elec_1,CC([O-])(NNC(=O)c1ccccc1Cl)c1csc(N2CCOCC2)n1,[H]c1sc(N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])nc1C([O-])(N([H])N([H])C(=O)c1c([H])c([H])c([H])c([H])c1Cl)C([H])([H])[H],-1,True,True
37c9f6ca27dbeccbbf6f31e18a27944a_elec_5,CC1(/N=C2\NC(=O)/C(=C/c3ccccc3)S2)C=C(Cl)C(F)=C[CH-]1,[H]C1=C(F)C(Cl)=C([H])C(/N=C2/S/C(=C(/[H])c3c([H])c([H])c([H])c([H])c3[H])C(=O)N2[H])(C([H])([H])[H])[C-]1[H],-1,True,True
09b31ba1d8746b06df21e8bdd1fca893_elec_7,CCN(CC)C[C-]1NC(c2cc(S(=O)(=O)CC)ccc2OC)=CC1C,[H]C1=C(c2c([H])c(S(=O)(=O)C([H])([H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])N([H])[C-](C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C1([H])C([H])([H])[H],-1,True,True
84ce42acbac453ba23d134e86aa876fd_elec_13,COc1ccc(CSC2=CN3[CH-]C(C)(c4ccc(N(C)C)cc4)N=C3C=C2)cc1,[H]C1=C([H])C(SC([H])([H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])=C([H])N2C1=NC(c1c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c1[H])(C([H])([H])[H])[C-]2[H],-1,True,True
e181403a0eda671b0963afeaf6cd89f3_elec_12,Cc1csc2nc(COC(=O)[C-]3C=CC(F)=CC3C)cc(=O)n12,[H]C1=C([H])[C-](C(=O)OC([H])([H])c2nc3sc([H])c(C([H])([H])[H])n3c(=O)c2[H])C([H])(C([H])([H])[H])C([H])=C1F,-1,True,True
035dc15de1782ea78b9651c8c8cb81ac_elec_4,COC1=CC(C)[CH-]c2c(N3CCN(C(=O)c4ccc(Cl)cc4)CC3)cc(C)nc21,[H]C1=C(OC([H])([H])[H])c2nc(C([H])([H])[H])c([H])c(N3C([H])([H])C([H])([H])N(C(=O)c4c([H])c([H])c(Cl)c([H])c4[H])C([H])([H])C3([H])[H])c2[C-]([H])C1([H])C([H])([H])[H],-1,True,True
f85e741c2257672173a0dcdb200026f6_elec_14,CCN1CCc2[nH]c3cc(F)c4c(c3c2C1)C(C)(C)[CH-]S4,[H]c1c(F)c2c(c3c4c(n([H])c13)C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C4([H])[H])C(C([H])([H])[H])(C([H])([H])[H])[C-]([H])S2,-1,True,True
39f78e54d5088c7aae20d2cedaa5809f_elec_7,CC1(c2c[nH]c3nc(N)[nH]c(=O)c23)C=CC=C[CH-]1,[H]C1=C([H])[C-]([H])C(c2c([H])n([H])c3nc(N([H])[H])n([H])c(=O)c23)(C([H])([H])[H])C([H])=C1[H],-1,True,True
8f612305b4c93a1b182b60638fba65df_elec_25,Cc1cccc2nc(-c3ccc(-c4cccc(NC(=O)N[C-]5C=CSC5C)c4)s3)[nH]c12,[H]C1=C([H])[C-](N([H])C(=O)N([H])c2c([H])c([H])c([H])c(-c3sc(-c4nc5c([H])c([H])c([H])c(C([H])([H])[H])c5n4[H])c([H])c3[H])c2[H])C([H])(C([H])([H])[H])S1,-1,True,True
305bb1150f53081666baffe3bc61a2db_elec_1,CC1(C)C=CC(N(CCC#N)C(=O)CSc2nc(O)c3ccccc3n2)=C[CH-]1,[H]Oc1nc(SC([H])([H])C(=O)N(C2=C([H])[C-]([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])=C2[H])C([H])([H])C([H])([H])C#N)nc2c([H])c([H])c([H])c([H])c12,-1,True,True
c15807956e37166323fc133cfb78b294_elec_10,CC1C=CC=C2[C-]1Nc1ccccc1C(=O)N2Cc1cn(Cc2ccc(F)cc2)nn1,[H]C1=C2[C-](N([H])c3c([H])c([H])c([H])c([H])c3C(=O)N2C([H])([H])c2nnn(C([H])([H])c3c([H])c([H])c(F)c([H])c3[H])c2[H])C([H])(C([H])([H])[H])C([H])=C1[H],-1,True,True
874506693393220d9da5b5656fa6a832_elec_1,CC([O-])(COC(=O)/C=C/c1ccc(F)cc1)NC1CCCC1,[H]/C(C(=O)OC([H])([H])C([O-])(N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H])=C(/[H])c1c([H])c([H])c(F)c([H])c1[H],-1,True,True
ba97b909cff1c408534467451f2c69b4_elec_20,CCCN(CCC)C(=O)c1ccc2c(c1)N(C)[C-](NC(=O)OC)N2,[H]c1c([H])c2c(c([H])c1C(=O)N(C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H])N(C([H])([H])[H])[C-](N([H])C(=O)OC([H])([H])[H])N2[H],-1,True,True
