name,smiles,nuc_sites,nuc_prod_smis,nuc_names,MCA_values,MCA_calc_logs,nuc_prod_name,split
943ba3575f7a2aace9401d6fe9b6a869,CCCCNC(=O)Nc1ncnc2c1cnn2CCN1CCCCCC1,14,CCCCNC(=O)Nc1ncnc2c1C(C)[N+]N2CCN1CCCCCC1,double_bond,368.2390239425004,"[[None, '943ba3575f7a2aace9401d6fe9b6a869/reac01/conf08/gfn1/943ba3575f7a2aace9401d6fe9b6a869_reac01_conf08_gfn1_opt.sdf'], [None, '943ba3575f7a2aace9401d6fe9b6a869/reac01prodN13/conf11/gfn1/943ba3575f7a2aace9401d6fe9b6a869_reac01prodN13_conf11_gfn1_opt.sdf']]",943ba3575f7a2aace9401d6fe9b6a869_nuc_14,train
9444744a0e2c77bcc52783a7ccffaf79,CCC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#Cc4ccccc4)nc32)[C@H](O)[C@@H]1O,18,CCC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#C[C+]4C=CC=CC4C)nc32)[C@H](O)[C@@H]1O,double_bond,317.6246821563691,"[[None, '9444744a0e2c77bcc52783a7ccffaf79/reac01/conf14/gfn1/9444744a0e2c77bcc52783a7ccffaf79_reac01_conf14_gfn1_opt.sdf'], [None, '9444744a0e2c77bcc52783a7ccffaf79/reac01prodN13/conf09/gfn1/9444744a0e2c77bcc52783a7ccffaf79_reac01prodN13_conf09_gfn1_opt.sdf']]",9444744a0e2c77bcc52783a7ccffaf79_nuc_18,train
945429bd0e8926ccc9999fb1c46fb3df,COc1cccc(-n2c(CN3CCN(C)CC3)nc3ccc([N+](=O)[O-])cc3c2=O)c1,20,COc1cccc(-n2c(CN3CCN(C)CC3)nc3c(c2=O)=C[C+]([N+](=O)[O-])C(C)C=3)c1,double_bond,266.1811142363585,"[[None, '945429bd0e8926ccc9999fb1c46fb3df/reac01/conf10/gfn1/945429bd0e8926ccc9999fb1c46fb3df_reac01_conf10_gfn1_opt.sdf'], [None, '945429bd0e8926ccc9999fb1c46fb3df/reac01prodN14/conf04/gfn1/945429bd0e8926ccc9999fb1c46fb3df_reac01prodN14_conf04_gfn1_opt.sdf']]",945429bd0e8926ccc9999fb1c46fb3df_nuc_20,train
9460aca8eb28ce14ee201c73067ead99,CCCCCc1ccc(C(=O)Nc2ccc3[nH]c(N)nc3c2)cc1,15,CCCCCc1ccc(C(=O)NC2=C[CH+]C3(C)NC(N)=NC3=C2)cc1,double_bond,372.1718143778853,"[[None, '9460aca8eb28ce14ee201c73067ead99/reac01/conf10/gfn1/9460aca8eb28ce14ee201c73067ead99_reac01_conf10_gfn1_opt.sdf'], [None, '9460aca8eb28ce14ee201c73067ead99/reac01prodN13/conf03/gfn1/9460aca8eb28ce14ee201c73067ead99_reac01prodN13_conf03_gfn1_opt.sdf']]",9460aca8eb28ce14ee201c73067ead99_nuc_15,val
94665d9ac3e6d8ee9714e89f85a51aa7,c1ccc(N2CCC3(COCCN(c4ncccn4)C3)C2)nc1,0,CC1C=NC(N2CCC3(COCCN(c4ncccn4)C3)C2)=C[CH+]1,double_bond,404.2355834501796,"[[None, '94665d9ac3e6d8ee9714e89f85a51aa7/reac01/conf10/gfn1/94665d9ac3e6d8ee9714e89f85a51aa7_reac01_conf10_gfn1_opt.sdf'], [None, '94665d9ac3e6d8ee9714e89f85a51aa7/reac01prodN06/conf01/gfn1/94665d9ac3e6d8ee9714e89f85a51aa7_reac01prodN06_conf01_gfn1_opt.sdf']]",94665d9ac3e6d8ee9714e89f85a51aa7_nuc_0,train
94687f1e1b9c1083e0da138bc94dea3e,O=C(/C=C/c1ccccc1)c1cc(C(=O)/C=C/c2ccccc2)c(O)cc1O,2,CC([CH+]c1ccccc1)C(=O)c1cc(C(=O)/C=C/c2ccccc2)c(O)cc1O,double_bond,341.9314188514836,"[[None, '94687f1e1b9c1083e0da138bc94dea3e/reac01/conf15/gfn1/94687f1e1b9c1083e0da138bc94dea3e_reac01_conf15_gfn1_opt.sdf'], [None, '94687f1e1b9c1083e0da138bc94dea3e/reac01prodN03/conf08/gfn1/94687f1e1b9c1083e0da138bc94dea3e_reac01prodN03_conf08_gfn1_opt.sdf']]",94687f1e1b9c1083e0da138bc94dea3e_nuc_2,val
946b866d57527c12ff7dd7c4ba0c6a9c,Nc1c(Oc2cc(Br)c(Br)c(Br)c2O)cc(Br)c(Br)c1Br,6,CC1(Br)C=C(Oc2cc(Br)c(Br)c(Br)c2N)C(O)=C(Br)[C+]1Br,double_bond,300.0864926800132,"[[None, '946b866d57527c12ff7dd7c4ba0c6a9c/reac01/conf05/gfn1/946b866d57527c12ff7dd7c4ba0c6a9c_reac01_conf05_gfn1_opt.sdf'], [None, '946b866d57527c12ff7dd7c4ba0c6a9c/reac01prodN08/conf20/gfn1/946b866d57527c12ff7dd7c4ba0c6a9c_reac01prodN08_conf20_gfn1_opt.sdf']]",946b866d57527c12ff7dd7c4ba0c6a9c_nuc_6,train
948aa60b3b5a6d45ebc08e12c2ecb4d3,COc1ccccc1C(=O)NNC(=O)C1CC=CCC1,4,COC1=CC(C)[CH+]C=C1C(=O)NNC(=O)C1CC=CCC1,double_bond,296.31980098132044,"[[None, '948aa60b3b5a6d45ebc08e12c2ecb4d3/reac01/conf06/gfn1/948aa60b3b5a6d45ebc08e12c2ecb4d3_reac01_conf06_gfn1_opt.sdf'], [None, '948aa60b3b5a6d45ebc08e12c2ecb4d3/reac01prodN06/conf06/gfn1/948aa60b3b5a6d45ebc08e12c2ecb4d3_reac01prodN06_conf06_gfn1_opt.sdf']]",948aa60b3b5a6d45ebc08e12c2ecb4d3_nuc_4,test
949bad82ac89ef822d9f866fdfae6ab5,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1ccc(F)c(F)c1,4,C[O+]=C(C[C@H](N)Cc1ccc(F)c(F)c1)N1CCn2c(nnc2C(F)(F)F)C1,atom_with_lone_pair,360.7519281241112,"[[None, '949bad82ac89ef822d9f866fdfae6ab5/reac01/conf20/gfn1/949bad82ac89ef822d9f866fdfae6ab5_reac01_conf20_gfn1_opt.sdf'], [None, '949bad82ac89ef822d9f866fdfae6ab5/reac01prodN14/conf13/gfn1/949bad82ac89ef822d9f866fdfae6ab5_reac01prodN14_conf13_gfn1_opt.sdf']]",949bad82ac89ef822d9f866fdfae6ab5_nuc_4,val
949dd9c78cb8aa9b95e599f97cdb68c8,Cc1cc(COc2ccccc2)oc1C(=O)O,2,CC1=C(C(=O)O)O[C+](COc2ccccc2)C1C,double_bond,327.8577347388491,"[[None, '949dd9c78cb8aa9b95e599f97cdb68c8/reac01/conf04/gfn1/949dd9c78cb8aa9b95e599f97cdb68c8_reac01_conf04_gfn1_opt.sdf'], [None, '949dd9c78cb8aa9b95e599f97cdb68c8/reac01prodN05/conf06/gfn1/949dd9c78cb8aa9b95e599f97cdb68c8_reac01prodN05_conf06_gfn1_opt.sdf']]",949dd9c78cb8aa9b95e599f97cdb68c8_nuc_2,train
