name,success,total_energy_kjmol,heat_of_formation_kcalmol,charge,method,solvent_model,dielectric_constant,source_out,n_atoms,sdf_path,elec_sites,MAA Values [kJ/mol],split
0279049b930de8013ef54da6f738141e,True,-804.18883,-192.20574,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0279049b930de8013ef54da6f738141e_elec_9.out,56,./mopac_optimized/mopac_opt/parsed_sdf/0279049b930de8013ef54da6f738141e_elec_9.sdf,9,153.83010000000013,train
027ba35c9053ffb999836394726618dc,True,-658.27415,-157.3313,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/027ba35c9053ffb999836394726618dc_elec_22.out,51,./mopac_optimized/mopac_opt/parsed_sdf/027ba35c9053ffb999836394726618dc_elec_22.sdf,22,144.61257,train
028057c506539c8710f03841565282ed,True,-922.4885,-220.48004,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/028057c506539c8710f03841565282ed_elec_17.out,53,./mopac_optimized/mopac_opt/parsed_sdf/028057c506539c8710f03841565282ed_elec_17.sdf,17,-23.23643000000004,train
0285ad041eee5dc888cfc7437ba2ef7c,True,-1117.25706,-267.03085,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0285ad041eee5dc888cfc7437ba2ef7c_elec_21.out,69,./mopac_optimized/mopac_opt/parsed_sdf/0285ad041eee5dc888cfc7437ba2ef7c_elec_21.sdf,21,207.7861499999999,train
0286acb511ed2726e5f91148922dbfc8,True,-430.99909,-103.01125,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0286acb511ed2726e5f91148922dbfc8_elec_9.out,48,./mopac_optimized/mopac_opt/parsed_sdf/0286acb511ed2726e5f91148922dbfc8_elec_9.sdf,9,158.47598000000005,train
02879ae8b202b5feb6897c722666fe62,True,-369.71599,-88.36424,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/02879ae8b202b5feb6897c722666fe62_elec_21.out,52,./mopac_optimized/mopac_opt/parsed_sdf/02879ae8b202b5feb6897c722666fe62_elec_21.sdf,21,142.21792999999997,train
029ad8278a8bfce975260d886a3922a3,True,44.71051,10.68607,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/029ad8278a8bfce975260d886a3922a3_elec_5.out,41,./mopac_optimized/mopac_opt/parsed_sdf/029ad8278a8bfce975260d886a3922a3_elec_5.sdf,5,240.2142,train
02ac94c62399532cc03a17e23bbdd0fa,True,-270.53881,-64.66033,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/02ac94c62399532cc03a17e23bbdd0fa_elec_10.out,57,./mopac_optimized/mopac_opt/parsed_sdf/02ac94c62399532cc03a17e23bbdd0fa_elec_10.sdf,10,150.66618,train
02af06d7e52d0ec3367963cc8ca8bd54,True,-490.66619,-117.27203,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/02af06d7e52d0ec3367963cc8ca8bd54_elec_25.out,56,./mopac_optimized/mopac_opt/parsed_sdf/02af06d7e52d0ec3367963cc8ca8bd54_elec_25.sdf,25,124.06537999999996,train
02c1a68a16d674922bcee599b7c3c381,True,-261.78566,-62.56827,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/02c1a68a16d674922bcee599b7c3c381_elec_6.out,42,./mopac_optimized/mopac_opt/parsed_sdf/02c1a68a16d674922bcee599b7c3c381_elec_6.sdf,6,293.77386,train
