name,success,total_energy_kjmol,basis_set,functional,solvent_model,solvent_name,multiplicity,charge,elec_sites,MAA Values [kJ/mol]
75907760f615740d85ac234c84943e0f,True,-3550775.353201596,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,16,113.0707928687334
8bd88a9c7108810bdd329f5034dedc6b,True,-3208161.437961716,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,6,91.56133553478867
38e2e0806348b23dd020197ca7a512ee,True,-4550958.488224452,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,11,137.47738390229642
f34b17384d7dae22caaa61cbac368614,True,-4327796.269984623,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,23,77.43677823338658
d6598d4c53f943e575a090da4bf7969c,True,-3055826.3307155706,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,6,-33.80259088054299
dfc1fb78080c94242d0e1afd0af5a4b8,True,-3152327.5434147557,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,13,70.17658942937851
b086852598d7b314526e9d433a756937,True,-3268749.322600501,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,10,-90.57618247764185
6710277f1563a73ce7b7d0d2f9cf1f48,True,-2500506.257124322,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,10,109.04499105503783
365da0a4910bc44afb7ebb75504fbd0f,True,-2923492.7251007487,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,9,16.91423587081954
e0692febc775100aa0650924d0155f05,True,-2959704.659019374,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,23,11.728007902856916
b4fe8c3ade9b2f0ab21f7ff9be38da32,True,-4166414.623232336,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,24,124.23722611460835
ba093e92bf37f1bdc7ffd4edd7350ff5,True,-10001116.115009764,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,11,29.276400364935398
9b4d78897b1106105b2c6c1fa4f1085b,True,-2548096.5150971194,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,16,55.05442632501945
1f54f7c6936fd3a3e03e1561f3c04c1c,True,-5024021.901237432,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,19,120.13181127794087
